motif	motif.name
MA0698.1	MA0698.1	ZBTB18
MA0516.2	MA0516.2	SP2
MA1516.1	MA1516.1	KLF3
MA0738.1	MA0738.1	HIC2
MA0788.1	MA0788.1	POU3F3
MA1574.1	MA1574.1	THRB
MA1517.1	MA1517.1	KLF6
MA1514.1	MA1514.1	KLF17
MA1575.1	MA1575.1	THRB(var.2)
MA0751.1	MA0751.1	ZIC4
MA0079.4	MA0079.4	SP1
MA0593.1	MA0593.1	FOXP2
MA0744.2	MA0744.2	SCRT2
MA0815.1	MA0815.1	TFAP2C(var.3)
MA0813.1	MA0813.1	TFAP2B(var.3)
MA0808.1	MA0808.1	TEAD3
MA0806.1	MA0806.1	TBX4
MA0018.4	MA0018.4	CREB1
MA0113.3	MA0113.3	NR3C1
MA1567.1	MA1567.1	TBX6
MA1155.1	MA1155.1	ZSCAN4
MA0670.1	MA0670.1	NFIA
MA0835.2	MA0835.2	BATF3
MA0091.1	MA0091.1	TAL1::TCF3
MA0056.2	MA0056.2	MZF1
MA0685.1	MA0685.1	SP4
MA1647.1	MA1647.1	PRDM4
MA1467.1	MA1467.1	ATOH1(var.2)
MA0693.2	MA0693.2	VDR
MA0162.4	MA0162.4	EGR1
MA0152.1	MA0152.1	NFATC2
MA0872.1	MA0872.1	TFAP2A(var.3)
MA1634.1	MA1634.1	BATF
MA0462.2	MA0462.2	BATF::JUN
MA0846.1	MA0846.1	FOXC2
MA0468.1	MA0468.1	DUX4
MA0659.2	MA0659.2	MAFG
MA1646.1	MA1646.1	OSR2
MA0690.1	MA0690.1	TBX21
MA1573.1	MA1573.1	THAP11
MA0867.2	MA0867.2	SOX4
MA0737.1	MA0737.1	GLIS3
MA0681.2	MA0681.2	PHOX2B
MA1123.2	MA1123.2	TWIST1
MA0488.1	MA0488.1	JUN
MA1566.1	MA1566.1	TBX3
MA0066.1	MA0066.1	PPARG
MA0107.1	MA0107.1	RELA
MA0775.1	MA0775.1	MEIS3
MA0736.1	MA0736.1	GLIS2
MA1109.1	MA1109.1	NEUROD1
MA1531.1	MA1531.1	NR1D1
MA1564.1	MA1564.1	SP9
MA1541.1	MA1541.1	NR6A1
MA0764.2	MA0764.2	ETV4
MA0798.2	MA0798.2	RFX3
MA0770.1	MA0770.1	HSF2
MA0032.2	MA0032.2	FOXC1
MA1471.1	MA1471.1	BARX2
MA1642.1	MA1642.1	NEUROG2(var.2)
MA1655.1	MA1655.1	ZNF341
MA1578.1	MA1578.1	VEZF1
MA0727.1	MA0727.1	NR3C2
MA1632.1	MA1632.1	ATF2
MA1124.1	MA1124.1	ZNF24
MA1421.1	MA1421.1	TCF7L1
MA0492.1	MA0492.1	JUND(var.2)
MA1533.1	MA1533.1	NR1I2
MA0478.1	MA0478.1	FOSL2
MA0477.2	MA0477.2	FOSL1
MA0807.1	MA0807.1	TBX5
MA0805.1	MA0805.1	TBX1
MA1536.1	MA1536.1	NR2C2(var.2)
MA1579.1	MA1579.1	ZBTB26
MA0733.1	MA0733.1	EGR4
MA0495.3	MA0495.3	MAFF
MA0787.1	MA0787.1	POU3F2
MA0650.2	MA0650.2	HOXA13
MA1569.1	MA1569.1	TFAP2E
MA0148.4	MA0148.4	FOXA1
MA1535.1	MA1535.1	NR2C1
MA0783.1	MA0783.1	PKNOX2
MA1141.1	MA1141.1	FOS::JUND
MA1508.1	MA1508.1	IKZF1
MA0715.1	MA0715.1	PROP1
MA0673.1	MA0673.1	NKX2-8
MA0802.1	MA0802.1	TBR1
MA0675.1	MA0675.1	NKX6-2
MA0778.1	MA0778.1	NFKB2
MA1584.1	MA1584.1	ZIC5
MA1487.1	MA1487.1	FOXE1
MA0501.1	MA0501.1	MAF::NFE2
MA0793.1	MA0793.1	POU6F2
MA0486.2	MA0486.2	HSF1
MA0672.1	MA0672.1	NKX2-3
MA0479.1	MA0479.1	FOXH1
MA0820.1	MA0820.1	FIGLA
MA1641.1	MA1641.1	MYF5
MA1472.1	MA1472.1	BHLHA15(var.2)
MA0789.1	MA0789.1	POU3F4
MA0703.2	MA0703.2	LMX1B
MA1638.1	MA1638.1	HAND2
MA0845.1	MA0845.1	FOXB1
MA1119.1	MA1119.1	SIX2
MA0786.1	MA0786.1	POU3F1
MA0508.3	MA0508.3	PRDM1
MA0112.3	MA0112.3	ESR1
MA0057.1	MA0057.1	MZF1(var.2)
MA1105.2	MA1105.2	GRHL2
MA0729.1	MA0729.1	RARA
MA0829.2	MA0829.2	SREBF1(var.2)
MA0702.2	MA0702.2	LMX1A
MA0517.1	MA0517.1	STAT1::STAT2
MA1523.1	MA1523.1	MSANTD3
MA0089.2	MA0089.2	NFE2L1
MA0688.1	MA0688.1	TBX2
MA1650.1	MA1650.1	ZBTB14
MA0628.1	MA0628.1	POU6F1
MA1494.1	MA1494.1	HNF4A(var.2)
MA1548.1	MA1548.1	PLAGL2
MA1150.1	MA1150.1	RORB
MA1142.1	MA1142.1	FOSL1::JUND
MA1130.1	MA1130.1	FOSL2::JUN
MA0721.1	MA0721.1	UNCX
MA0080.5	MA0080.5	SPI1
MA0476.1	MA0476.1	FOS
MA0500.2	MA0500.2	MYOG
MA0722.1	MA0722.1	VAX1
MA0038.2	MA0038.2	GFI1
MA0115.1	MA0115.1	NR1H2::RXRA
MA0800.1	MA0800.1	EOMES
MA1132.1	MA1132.1	JUN::JUNB
MA1151.1	MA1151.1	RORC
MA0847.2	MA0847.2	FOXD2
MA0790.1	MA0790.1	POU4F1
MA1111.1	MA1111.1	NR2F2
MA0465.2	MA0465.2	CDX2
MA0679.2	MA0679.2	ONECUT1
MA1639.1	MA1639.1	MEIS1(var.2)
MA0523.1	MA0523.1	TCF7L2
MA0051.1	MA0051.1	IRF2
MA0825.1	MA0825.1	MNT
MA0691.1	MA0691.1	TFAP4
MA0740.1	MA0740.1	KLF14
MA0618.1	MA0618.1	LBX1
MA0710.1	MA0710.1	NOTO
MA0689.1	MA0689.1	TBX20
MA1463.1	MA1463.1	ARGFX
MA0772.1	MA0772.1	IRF7
MA0801.1	MA0801.1	MGA
MA0803.1	MA0803.1	TBX15
MA0071.1	MA0071.1	RORA
MA0718.1	MA0718.1	RAX
MA0491.2	MA0491.2	JUND
MA1128.1	MA1128.1	FOSL1::JUN
MA0792.1	MA0792.1	POU5F1B
MA0627.2	MA0627.2	POU2F3
MA1134.1	MA1134.1	FOS::JUNB
MA0730.1	MA0730.1	RARA(var.2)
MA1149.1	MA1149.1	RARA::RXRG
MA0674.1	MA0674.1	NKX6-1
MA0836.2	MA0836.2	CEBPD
MA0852.2	MA0852.2	FOXK1
MA0509.2	MA0509.2	RFX1
MA1532.1	MA1532.1	NR1D2
MA0625.1	MA0625.1	NFATC3
MA0147.3	MA0147.3	MYC
MA0490.2	MA0490.2	JUNB
MA0665.1	MA0665.1	MSC
MA0159.1	MA0159.1	RARA::RXRA
MA0084.1	MA0084.1	SRY
MA0914.1	MA0914.1	ISL2
MA1651.1	MA1651.1	ZFP42
MA1137.1	MA1137.1	FOSL1::JUNB
MA1418.1	MA1418.1	IRF3
MA0502.2	MA0502.2	NFYB
MA1525.1	MA1525.1	NFATC4
MA1524.1	MA1524.1	MSGN1
MA0707.1	MA0707.1	MNX1
MA1521.1	MA1521.1	MAFA
MA1115.1	MA1115.1	POU5F1
MA0661.1	MA0661.1	MEOX1
MA1556.1	MA1556.1	RXRG(var.2)
MA1589.1	MA1589.1	ZNF140
MA0725.1	MA0725.1	VSX1
MA0726.1	MA0726.1	VSX2
MA0075.3	MA0075.3	PRRX2
MA0463.2	MA0463.2	BCL6
MA1112.2	MA1112.2	NR4A1
MA0732.1	MA0732.1	EGR3
MA0701.2	MA0701.2	LHX9
MA0784.1	MA0784.1	POU1F1
MA0769.2	MA0769.2	TCF7
MA1101.2	MA1101.2	BACH2
MA1513.1	MA1513.1	KLF15
MA0030.1	MA0030.1	FOXF2
MA0646.1	MA0646.1	GCM1
MA0756.1	MA0756.1	ONECUT2
MA0683.1	MA0683.1	POU4F2
MA0093.3	MA0093.3	USF1
MA1549.1	MA1549.1	POU6F1(var.2)
MA0658.1	MA0658.1	LHX6
MA0141.3	MA0141.3	ESRRB
MA0863.1	MA0863.1	MTF1
MA0655.1	MA0655.1	JDP2
MA0507.1	MA0507.1	POU2F2
MA0099.3	MA0099.3	FOS::JUN
MA0791.1	MA0791.1	POU4F3
MA0657.1	MA0657.1	KLF13
MA1534.1	MA1534.1	NR1I3
MA0058.3	MA0058.3	MAX
MA0767.1	MA0767.1	GCM2
MA0074.1	MA0074.1	RXRA::VDR
MA0841.1	MA0841.1	NFE2
MA0842.2	MA0842.2	NRL
MA1138.1	MA1138.1	FOSL2::JUNB
MA1588.1	MA1588.1	ZNF136
MA0708.1	MA0708.1	MSX2
MA1520.1	MA1520.1	MAF
MA0868.2	MA0868.2	SOX8
MA0481.3	MA0481.3	FOXP1
MA0653.1	MA0653.1	IRF9
MA1499.1	MA1499.1	HOXB4
MA1504.1	MA1504.1	HOXC4
MA1507.1	MA1507.1	HOXD4
MA0894.1	MA0894.1	HESX1
MA0785.1	MA0785.1	POU2F1
MA0731.1	MA0731.1	BCL6B
MA0700.2	MA0700.2	LHX2
MA0892.1	MA0892.1	GSX1
MA0047.3	MA0047.3	FOXA2
MA0063.2	MA0063.2	NKX2-5
MA1106.1	MA1106.1	HIF1A
MA0630.1	MA0630.1	SHOX
MA0654.1	MA0654.1	ISX
MA0716.1	MA0716.1	PRRX1
MA0717.1	MA0717.1	RAX2
MA1131.1	MA1131.1	FOSL2::JUN(var.2)
MA0779.1	MA0779.1	PAX1
MA1538.1	MA1538.1	NR2F1(var.3)
MA0865.1	MA0865.1	E2F8
MA1118.1	MA1118.1	SIX1
MA0909.2	MA0909.2	HOXD13
MA0105.4	MA0105.4	NFKB1
MA1519.1	MA1519.1	LHX5
MA0799.1	MA0799.1	RFX4
MA0104.4	MA0104.4	MYCN
MA0035.4	MA0035.4	GATA1
MA1144.1	MA1144.1	FOSL2::JUND
MA1640.1	MA1640.1	MEIS2(var.2)
MA0644.1	MA0644.1	ESX1
MA0890.1	MA0890.1	GBX2
MA0081.2	MA0081.2	SPIB
MA0899.1	MA0899.1	HOXA10
MA0649.1	MA0649.1	HEY2
MA0609.2	MA0609.2	CREM
MA0598.3	MA0598.3	EHF
MA0640.2	MA0640.2	ELF3
MA0797.1	MA0797.1	TGIF2
MA1657.1	MA1657.1	ZNF652
MA0610.1	MA0610.1	DMRT3
MA0768.1	MA0768.1	LEF1
MA0758.1	MA0758.1	E2F7
MA1560.1	MA1560.1	SOHLH2
MA1577.1	MA1577.1	TLX2
MA1594.1	MA1594.1	ZNF382
MA0774.1	MA0774.1	MEIS2
MA1683.1	MA1683.1	FOXA3
MA0526.3	MA0526.3	USF2
MA0642.1	MA0642.1	EN2
MA0088.2	MA0088.2	ZNF143
MA1473.1	MA1473.1	CDX4
MA1644.1	MA1644.1	NFYC
MA0634.1	MA0634.1	ALX3
MA1552.1	MA1552.1	RARB(var.3)
MA1470.1	MA1470.1	BACH2(var.2)
MA0757.1	MA0757.1	ONECUT3
MA1145.1	MA1145.1	FOSL2::JUND(var.2)
MA0699.1	MA0699.1	LBX2
MA0025.2	MA0025.2	NFIL3
MA1530.1	MA1530.1	NKX6-3
MA0878.2	MA0878.2	CDX1
MA1570.1	MA1570.1	TFAP4(var.2)
MA1103.2	MA1103.2	FOXK2
MA1135.1	MA1135.1	FOSB::JUNB
MA0498.2	MA0498.2	MEIS1
MA1122.1	MA1122.1	TFDP1
MA0723.1	MA0723.1	VAX2
MA1117.1	MA1117.1	RELB
MA0031.1	MA0031.1	FOXD1
MA0157.2	MA0157.2	FOXO3
MA0875.1	MA0875.1	BARX1
MA0042.2	MA0042.2	FOXI1
MA0033.2	MA0033.2	FOXL1
MA0848.1	MA0848.1	FOXO4
MA0849.1	MA0849.1	FOXO6
MA0850.1	MA0850.1	FOXP3
MA0600.2	MA0600.2	RFX2
MA0059.1	MA0059.1	MAX::MYC
MA1553.1	MA1553.1	RARG(var.3)
MA0070.1	MA0070.1	PBX1
MA0706.1	MA0706.1	MEOX2
MA1636.1	MA1636.1	CEBPG(var.2)
MA0102.4	MA0102.4	CEBPA
MA0083.3	MA0083.3	SRF
MA0095.2	MA0095.2	YY1
MA0712.2	MA0712.2	OTX2
MA0866.1	MA0866.1	SOX21
MA0613.1	MA0613.1	FOXG1
MA1110.1	MA1110.1	NR1H4
MA0684.2	MA0684.2	RUNX3
MA0473.3	MA0473.3	ELF1
MA1126.1	MA1126.1	FOS::JUN(var.2)
MA0861.1	MA0861.1	TP73
MA0510.2	MA0510.2	RFX5
MA1481.1	MA1481.1	DRGX
MA1555.1	MA1555.1	RXRB(var.2)
MA0735.1	MA0735.1	GLIS1
MA0694.1	MA0694.1	ZBTB7B
MA1127.1	MA1127.1	FOSB::JUN
MA0719.1	MA0719.1	RHOXF1
MA1139.1	MA1139.1	FOSL2::JUNB(var.2)
MA0781.1	MA0781.1	PAX9
MA0106.3	MA0106.3	TP53
MA1120.1	MA1120.1	SOX13
MA1585.1	MA1585.1	ZKSCAN1
MA0886.1	MA0886.1	EMX2
MA0612.2	MA0612.2	EMX1
MA0822.1	MA0822.1	HES7
MA0072.1	MA0072.1	RORA(var.2)
MA0687.1	MA0687.1	SPIC
MA0100.3	MA0100.3	MYB
MA0077.1	MA0077.1	SOX9
MA1546.1	MA1546.1	PAX3(var.2)
MA0143.4	MA0143.4	SOX2
MA0666.1	MA0666.1	MSX1
MA0876.1	MA0876.1	BSX
MA0662.1	MA0662.1	MIXL1
MA0903.1	MA0903.1	HOXB3
MA1583.1	MA1583.1	ZFP57
MA1539.1	MA1539.1	NR2F6(var.3)
MA1468.1	MA1468.1	ATOH7
MA1572.1	MA1572.1	TGIF2LY
MA0888.1	MA0888.1	EVX2
MA0062.3	MA0062.3	GABPA
MA0713.1	MA0713.1	PHOX2A
MA0259.1	MA0259.1	ARNT::HIF1A
MA0060.3	MA0060.3	NFYA
MA0821.1	MA0821.1	HES5
MA0036.3	MA0036.3	GATA2
MA0139.1	MA0139.1	CTCF
MA1479.1	MA1479.1	DMRTC2
MA0882.1	MA0882.1	DLX6
MA0692.1	MA0692.1	TFEB
MA0889.1	MA0889.1	GBX1
MA0833.2	MA0833.2	ATF4
MA0761.2	MA0761.2	ETV1
MA1147.1	MA1147.1	NR4A2::RXRA
MA1136.1	MA1136.1	FOSB::JUNB(var.2)
MA0695.1	MA0695.1	ZBTB7C
MA0472.2	MA0472.2	EGR2
MA0819.1	MA0819.1	CLOCK
MA1113.2	MA1113.2	PBX2
MA1420.1	MA1420.1	IRF5
MA0796.1	MA0796.1	TGIF1
MA1501.1	MA1501.1	HOXB7
MA0871.2	MA0871.2	TFEC
MA0887.1	MA0887.1	EVX1
MA1571.1	MA1571.1	TGIF2LX
MA0884.1	MA0884.1	DUXA
MA0834.1	MA0834.1	ATF7
MA0780.1	MA0780.1	PAX3
MA1493.1	MA1493.1	HES6
MA0844.1	MA0844.1	XBP1
MA0823.1	MA0823.1	HEY1
MA1146.1	MA1146.1	NR1H4::RXRA
MA1099.2	MA1099.2	HES1
MA1154.1	MA1154.1	ZNF282
MA0752.1	MA0752.1	ZNF410
MA0913.2	MA0913.2	HOXD9
MA0714.1	MA0714.1	PITX3
MA0482.2	MA0482.2	GATA4
MA0905.1	MA0905.1	HOXC10
MA0750.2	MA0750.2	ZBTB7A
MA0605.2	MA0605.2	ATF3
MA1502.1	MA1502.1	HOXB8
MA0068.2	MA0068.2	PAX4
MA0014.3	MA0014.3	PAX5
MA0912.2	MA0912.2	HOXD3
MA0652.1	MA0652.1	IRF8
MA0506.1	MA0506.1	NRF1
MA0131.2	MA0131.2	HINFP
MA1480.1	MA1480.1	DPRX
MA1497.1	MA1497.1	HOXA6
MA0895.1	MA0895.1	HMBOX1
MA0893.2	MA0893.2	GSX2
MA0158.2	MA0158.2	HOXA5
MA0043.3	MA0043.3	HLF
MA1104.2	MA1104.2	GATA6
MA0667.1	MA0667.1	MYF6
MA0656.1	MA0656.1	JDP2(var.2)
MA0511.2	MA0511.2	RUNX2
MA0766.2	MA0766.2	GATA5
MA0027.2	MA0027.2	EN1
MA0616.2	MA0616.2	HES2
MA0140.2	MA0140.2	GATA1::TAL1
MA0680.1	MA0680.1	PAX7
MA1129.1	MA1129.1	FOSL1::JUN(var.2)
MA0132.2	MA0132.2	PDX1
MA1140.2	MA1140.2	JUNB(var.2)
MA1133.1	MA1133.1	JUN::JUNB(var.2)
MA1500.1	MA1500.1	HOXB6
MA0024.3	MA0024.3	E2F1
MA0632.2	MA0632.2	TCFL5
MA0636.1	MA0636.1	BHLHE41
MA0907.1	MA0907.1	HOXC13
MA1563.1	MA1563.1	SOX18
MA1475.1	MA1475.1	CREB3L4(var.2)
MA0009.2	MA0009.2	TBXT
MA1547.1	MA1547.1	PITX2
MA0663.1	MA0663.1	MLX
MA1489.1	MA1489.1	FOXN3
MA0037.3	MA0037.3	GATA3
MA0145.3	MA0145.3	TFCP2
MA0469.3	MA0469.3	E2F3
MA0906.1	MA0906.1	HOXC12
MA1496.1	MA1496.1	HOXA4
MA0795.1	MA0795.1	SMAD3
MA0069.1	MA0069.1	PAX6
MA0839.1	MA0839.1	CREB3L1
MA0464.2	MA0464.2	BHLHE40
MA1478.1	MA1478.1	DMRTA2
MA1495.1	MA1495.1	HOXA1
MA0900.2	MA0900.2	HOXA2
MA0904.2	MA0904.2	HOXB5
MA0638.1	MA0638.1	CREB3
MA0682.2	MA0682.2	PITX1
MA1554.1	MA1554.1	RFX7
MA0136.2	MA0136.2	ELF5
MA1561.1	MA1561.1	SOX12
MA0724.1	MA0724.1	VENTX
MA1562.1	MA1562.1	SOX14
MA1464.1	MA1464.1	ARNT2
MA1602.1	MA1602.1	ZSCAN29
MA0838.1	MA0838.1	CEBPG
MA1542.1	MA1542.1	OSR1
MA1474.1	MA1474.1	CREB3L4
MA0827.1	MA0827.1	OLIG3
MA0891.1	MA0891.1	GSC2
MA0620.3	MA0620.3	MITF
MA1466.1	MA1466.1	ATF6
MA0831.2	MA0831.2	TFE3
MA0794.1	MA0794.1	PROX1
MA1505.1	MA1505.1	HOXC8
MA0678.1	MA0678.1	OLIG2
MA1419.1	MA1419.1	IRF4
MA0902.2	MA0902.2	HOXB2
MA0837.1	MA0837.1	CEBPE
MA1476.1	MA1476.1	DLX5
MA1580.1	MA1580.1	ZBTB32
MA0466.2	MA0466.2	CEBPB
MA0641.1	MA0641.1	ELF4
MA0754.1	MA0754.1	CUX1
MA0645.1	MA0645.1	ETV6
MA0525.2	MA0525.2	TP63
MA1557.1	MA1557.1	SMAD5
MA0804.1	MA0804.1	TBX19
MA0711.1	MA0711.1	OTX1
MA1498.1	MA1498.1	HOXA7
MA0910.2	MA0910.2	HOXD8
MA0843.1	MA0843.1	TEF
MA0762.1	MA0762.1	ETV2
MA1506.1	MA1506.1	HOXD10
MA0648.1	MA0648.1	GSC
MA1518.1	MA1518.1	LHX1
MA0076.2	MA0076.2	ELK4
MA0686.1	MA0686.1	SPDEF
MA0623.2	MA0623.2	NEUROG1
MA0647.1	MA0647.1	GRHL1
MA1143.1	MA1143.1	FOSL1::JUND(var.2)
MA0635.1	MA0635.1	BARHL2
MA1568.1	MA1568.1	TCF21(var.2)
MA0765.2	MA0765.2	ETV5
MA1509.1	MA1509.1	IRF6
MA0664.1	MA0664.1	MLXIPL
MA0470.2	MA0470.2	E2F4
MA0651.1	MA0651.1	HOXC11
MA0485.2	MA0485.2	HOXC9
MA0748.2	MA0748.2	YY2
MA0527.1	MA0527.1	ZBTB33
MA0864.2	MA0864.2	E2F2
MA0828.1	MA0828.1	SREBF2(var.2)
MA0639.1	MA0639.1	DBP
MA1503.1	MA1503.1	HOXB9
MA0877.2	MA0877.2	BARHL1
MA0637.1	MA0637.1	CENPB
MA0669.1	MA0669.1	NEUROG2
MA0818.1	MA0818.1	BHLHE22
MA0755.1	MA0755.1	CUX2
MA0908.1	MA0908.1	HOXD11
MA1545.1	MA1545.1	OVOL2
MA1544.1	MA1544.1	OVOL1
MA0668.1	MA0668.1	NEUROD2
MA0817.1	MA0817.1	BHLHE23
MA0862.1	MA0862.1	GMEB2
MA0873.1	MA0873.1	HOXD12
MA0763.1	MA0763.1	ETV3
MA0777.1	MA0777.1	MYBL2
MA0594.2	MA0594.2	HOXA9
MA0826.1	MA0826.1	OLIG1
MA1484.1	MA1484.1	ETS2
MA0028.2	MA0028.2	ELK1
MA0474.2	MA0474.2	ERG
MA0098.3	MA0098.3	ETS1
MA0776.1	MA0776.1	MYBL1
MA0760.1	MA0760.1	ERF
MA0475.2	MA0475.2	FLI1
MA1483.1	MA1483.1	ELF2
MA0759.1	MA0759.1	ELK3
MA0156.2	MA0156.2	FEV
MA0749.1	MA0749.1	ZBED1
